Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime,Reference
830050100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,830050000,443.95
830050100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830100100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830100000,443.95
830100100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830150100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830150000,443.95
830150100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830200100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830200000,443.95
830200100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830250100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830250000,443.95
830250100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830300100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830300000,443.95
830300100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830350100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830350000,443.95
830350100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830400100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830400000,443.95
830400100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830450100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830450000,443.95
830450100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830500100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830500000,443.95
830500100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
830550100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,830550000,443.95
830550100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
831000100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,831000000,443.95
831000100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,0,0,,443.95
831050100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,478,1,0,0,0,0,0,0,0,0,1,0,831050000,443.95
831050100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831100100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,444.25,1,478,1,0,0,0,0,0,0,1,0,831100000,443.95
831100100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831150100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,444.25,1,478,1,0,0,0,0,0,0,1,0,831150000,443.95
831150100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831200100,0,0,442,2,440.5,1,427.75,1,422.75,1,417.75,1,444.25,1,478,1,0,0,0,0,0,0,1,0,831200000,443.95
831200100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831250100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,1,0,831250000,443.95
831250100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831300100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,1,0,831300000,443.95
831300100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831350100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,1,0,831350000,443.95
831350100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831400100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,1,0,831400000,443.95
831400100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,0,0,,443.95
831450100,0,0,442,2,440.5,1,440,3,438.8,1,435,7,444.25,1,478,1,0,0,0,0,0,0,1,0,831450000,443.95
