Time,Last,Vol,BID1,BIDSZ1,BID2,BIDSZ2,BID3,BIDSZ3,BID4,BIDSZ4,BID5,BIDSZ5,ASK1,ASKSZ1,ASK2,ASKSZ2,ASK3,ASKSZ3,ASK4,ASKSZ4,ASK5,ASKSZ5,Tick,Volume,LastTime,Reference
830050100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,830050000,1246.8
830050100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,0,0,,1246.8
830100100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,1,0,830100000,1246.8
830100100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,0,0,,1246.8
830150100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,1,0,830150000,1246.8
830150100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,0,0,,1246.8
830200100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,1,0,830200000,1246.8
830200100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,0,0,,1246.8
830250100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,1,0,830250000,1246.8
830250100,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,0,0,,1246.8
830300200,0,0,0,0,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,1,0,830300000,1246.8
830300200,0,0,1220,1,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,0,0,,1246.8
830350200,0,0,1220,1,0,0,0,0,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,1,0,830350000,1246.8
830350200,0,0,1220,1,0,0,0,0,0,0,0,0,1254,1,1260,2,0,0,0,0,0,0,0,0,,1246.8
830400200,0,0,1220,1,0,0,0,0,0,0,0,0,1254,1,1260,2,0,0,0,0,0,0,1,0,830400000,1246.8
830400200,0,0,1220,1,0,0,0,0,0,0,0,0,1254,1,1260,2,0,0,0,0,0,0,0,0,,1246.8
830450200,0,0,1220,1,0,0,0,0,0,0,0,0,1254,1,1260,2,0,0,0,0,0,0,1,0,830450000,1246.8
830450200,0,0,1220,1,0,0,0,0,0,0,0,0,1254,1,1260,2,0,0,0,0,0,0,0,0,,1246.8
830500200,0,0,1220,1,0,0,0,0,0,0,0,0,1254,1,1260,2,0,0,0,0,0,0,1,0,830500000,1246.8
